Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
05 Canarias;Centro América y Caribe;2018;5.186
05 Canarias;Centro América y Caribe;2017;3.971
05 Canarias;Centro América y Caribe;2016;2.951
05 Canarias;Centro América y Caribe;2015;2.614
05 Canarias;Centro América y Caribe;2014;2.594
05 Canarias;Centro América y Caribe;2013;2.560
05 Canarias;Sudamérica;2021;5.412
05 Canarias;Sudamérica;2020;8.059
05 Canarias;Sudamérica;2019;15.415
05 Canarias;Sudamérica;2018;15.170
05 Canarias;Sudamérica;2017;11.521
05 Canarias;Sudamérica;2016;7.998
05 Canarias;Sudamérica;2015;4.372
05 Canarias;Sudamérica;2014;3.027
05 Canarias;Sudamérica;2013;2.617
05 Canarias;Asia;2021;535
05 Canarias;Asia;2020;590
05 Canarias;Asia;2019;1.201
05 Canarias;Asia;2018;1.146
05 Canarias;Asia;2017;1.045
05 Canarias;Asia;2016;1.028
05 Canarias;Asia;2015;882
05 Canarias;Asia;2014;872
05 Canarias;Asia;2013;981
05 Canarias;Oceanía ;2021;29
05 Canarias;Oceanía ;2020;24
05 Canarias;Oceanía ;2019;48
05 Canarias;Oceanía ;2018;32
05 Canarias;Oceanía ;2017;43
05 Canarias;Oceanía ;2016;42
05 Canarias;Oceanía ;2015;34
05 Canarias;Oceanía ;2014;22
05 Canarias;Oceanía ;2013;29
06 Cantabria;Total;2021;3.882
