Lugar de condena;Nacionalidad;Periodo;Total
06 Cantabria;País de Europa menos UE28;2016;66
06 Cantabria;País de Europa menos UE28;2015;57
06 Cantabria;País de Europa menos UE28;2014;48
06 Cantabria;País de Europa menos UE28;2013;31
06 Cantabria;País de Europa menos UE27_2020;2021;116
06 Cantabria;País de Europa menos UE27_2020;2020;99
06 Cantabria;País de Europa menos UE27_2020;2019;""
06 Cantabria;País de Europa menos UE27_2020;2018;""
06 Cantabria;País de Europa menos UE27_2020;2017;""
06 Cantabria;País de Europa menos UE27_2020;2016;""
06 Cantabria;País de Europa menos UE27_2020;2015;""
06 Cantabria;País de Europa menos UE27_2020;2014;""
06 Cantabria;País de Europa menos UE27_2020;2013;""
06 Cantabria;De Africa;2021;152
06 Cantabria;De Africa;2020;125
06 Cantabria;De Africa;2019;126
06 Cantabria;De Africa;2018;110
06 Cantabria;De Africa;2017;91
06 Cantabria;De Africa;2016;99
06 Cantabria;De Africa;2015;65
06 Cantabria;De Africa;2014;63
06 Cantabria;De Africa;2013;65
06 Cantabria;De América;2021;318
06 Cantabria;De América;2020;229
06 Cantabria;De América;2019;277
06 Cantabria;De América;2018;266
06 Cantabria;De América;2017;241
06 Cantabria;De América;2016;282
06 Cantabria;De América;2015;194
06 Cantabria;De América;2014;214
06 Cantabria;De América;2013;247
06 Cantabria;De Asia;2021;13
06 Cantabria;De Asia;2020;17
06 Cantabria;De Asia;2019;16
06 Cantabria;De Asia;2018;13
06 Cantabria;De Asia;2017;18
06 Cantabria;De Asia;2016;18
06 Cantabria;De Asia;2015;18
06 Cantabria;De Asia;2014;14
06 Cantabria;De Asia;2013;12
06 Cantabria;De Oceanía;2021;0
06 Cantabria;De Oceanía;2020;0
06 Cantabria;De Oceanía;2019;0
06 Cantabria;De Oceanía;2018;0
06 Cantabria;De Oceanía;2017;0
06 Cantabria;De Oceanía;2016;0
06 Cantabria;De Oceanía;2015;1
06 Cantabria;De Oceanía;2014;0
06 Cantabria;De Oceanía;2013;2
07 Castilla y León;Total;2021;17.616
07 Castilla y León;Total;2020;12.456
