Lugar de condena;Edad;Sexo;Periodo;Total
04 Balears, Illes;14 años;Mujeres;2021;21
04 Balears, Illes;14 años;Mujeres;2020;24
04 Balears, Illes;14 años;Mujeres;2019;26
04 Balears, Illes;14 años;Mujeres;2018;44
04 Balears, Illes;14 años;Mujeres;2017;31
04 Balears, Illes;14 años;Mujeres;2016;31
04 Balears, Illes;14 años;Mujeres;2015;30
04 Balears, Illes;14 años;Mujeres;2014;20
04 Balears, Illes;14 años;Mujeres;2013;24
04 Balears, Illes;15 años;Total;2021;118
04 Balears, Illes;15 años;Total;2020;118
04 Balears, Illes;15 años;Total;2019;140
04 Balears, Illes;15 años;Total;2018;149
04 Balears, Illes;15 años;Total;2017;131
04 Balears, Illes;15 años;Total;2016;145
04 Balears, Illes;15 años;Total;2015;120
04 Balears, Illes;15 años;Total;2014;120
04 Balears, Illes;15 años;Total;2013;134
04 Balears, Illes;15 años;Hombres;2021;95
04 Balears, Illes;15 años;Hombres;2020;96
04 Balears, Illes;15 años;Hombres;2019;98
04 Balears, Illes;15 años;Hombres;2018;95
04 Balears, Illes;15 años;Hombres;2017;96
04 Balears, Illes;15 años;Hombres;2016;103
04 Balears, Illes;15 años;Hombres;2015;86
04 Balears, Illes;15 años;Hombres;2014;90
04 Balears, Illes;15 años;Hombres;2013;102
04 Balears, Illes;15 años;Mujeres;2021;23
04 Balears, Illes;15 años;Mujeres;2020;22
04 Balears, Illes;15 años;Mujeres;2019;42
