Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
06 Cantabria;Hombres;Española;2013;1.910
06 Cantabria;Hombres;Extranjera;2021;437
06 Cantabria;Hombres;Extranjera;2020;389
06 Cantabria;Hombres;Extranjera;2019;421
06 Cantabria;Hombres;Extranjera;2018;358
06 Cantabria;Hombres;Extranjera;2017;343
06 Cantabria;Hombres;Extranjera;2016;373
06 Cantabria;Hombres;Extranjera;2015;337
06 Cantabria;Hombres;Extranjera;2014;337
06 Cantabria;Hombres;Extranjera;2013;370
06 Cantabria;Mujeres;Total;2021;756
06 Cantabria;Mujeres;Total;2020;583
06 Cantabria;Mujeres;Total;2019;711
06 Cantabria;Mujeres;Total;2018;743
06 Cantabria;Mujeres;Total;2017;652
06 Cantabria;Mujeres;Total;2016;645
06 Cantabria;Mujeres;Total;2015;376
06 Cantabria;Mujeres;Total;2014;338
06 Cantabria;Mujeres;Total;2013;338
06 Cantabria;Mujeres;Española;2021;660
06 Cantabria;Mujeres;Española;2020;506
06 Cantabria;Mujeres;Española;2019;612
06 Cantabria;Mujeres;Española;2018;608
06 Cantabria;Mujeres;Española;2017;556
06 Cantabria;Mujeres;Española;2016;545
06 Cantabria;Mujeres;Española;2015;315
06 Cantabria;Mujeres;Española;2014;275
06 Cantabria;Mujeres;Española;2013;263
06 Cantabria;Mujeres;Extranjera;2021;96
06 Cantabria;Mujeres;Extranjera;2020;77
06 Cantabria;Mujeres;Extranjera;2019;99
06 Cantabria;Mujeres;Extranjera;2018;135
06 Cantabria;Mujeres;Extranjera;2017;96
06 Cantabria;Mujeres;Extranjera;2016;100
06 Cantabria;Mujeres;Extranjera;2015;61
06 Cantabria;Mujeres;Extranjera;2014;63
06 Cantabria;Mujeres;Extranjera;2013;75
07 Castilla y León;Total;Total;2021;11.851
07 Castilla y León;Total;Total;2020;8.674
07 Castilla y León;Total;Total;2019;11.501
07 Castilla y León;Total;Total;2018;11.486
07 Castilla y León;Total;Total;2017;11.434
07 Castilla y León;Total;Total;2016;10.551
07 Castilla y León;Total;Total;2015;8.962
07 Castilla y León;Total;Total;2014;9.009
07 Castilla y León;Total;Total;2013;9.596
07 Castilla y León;Total;Española;2021;10.012
07 Castilla y León;Total;Española;2020;7.332
07 Castilla y León;Total;Española;2019;9.760
07 Castilla y León;Total;Española;2018;9.782
07 Castilla y León;Total;Española;2017;9.675
07 Castilla y León;Total;Española;2016;8.822
07 Castilla y León;Total;Española;2015;7.501
